ot_id,equipo_id,tipo_mantenimiento,sistema_intervenido,descripcion,tecnico_responsable,fecha_inicio,fecha_fin,horas_fuera_servicio,costo_mano_obra,costo_repuestos,estado,prioridad
OT-0013,EQ-026,Correctivo,Transmisión,Falla en sensor de temperatura,TEC-11,2024-08-28 00:00:00,2024-08-29 00:00:00,33.0,205000.0,1667000,Completado,Alta
OT-0350,EQ-030,Correctivo,Combustible,Falla en sistema de frenos,TEC-10,2023-11-02 00:00:00,2023-11-02 00:00:00,15.0,443000.0,835000,Pendiente,Baja
OT-0313,EQ-001,Correctivo,Transmisión,Falla en sensor de temperatura,TEC-06,2023-05-14 00:00:00,2023-05-14 00:00:00,11.0,182000.0,1657000,Completado,Alta
OT-0009,EQ-013,Correctivo,Transmisión,Falla motor de arranque,TEC-07,2023-06-13 00:00:00,2023-06-14 00:00:00,,276000.0,555000,Completado,Media
OT-0312,EQ-024,Correctivo,Enfriamiento,Cortocircuito tablero eléctrico,TEC-05,2024-07-15 00:00:00,2024-07-16 00:00:00,35.0,228000.0,2331000,Completado,Media
OT-0389,EQ-013,Correctivo,Enfriamiento,Falla en sistema de frenos,TEC-05,2023-07-02 00:00:00,2023-07-02 00:00:00,8.0,245000.0,2218000,Completado,Media
OT-0294,EQ-030,Predictivo,Sistema Hidráulico,Fuga de aceite en transmisión,TEC-11,2023-08-23 00:00:00,2023-08-23 00:00:00,1.0,392000.0,353000,Completado,Alta
OT-0116,EQ-035,Emergencia,Chasis,Incendio controlado compartimento motor,TEC-07,2023-06-13 00:00:00,,47.0,350000.0,2655000,Completado,Alta
OT-0454,EQ-026,Emergencia,Sistema Eléctrico,Incendio controlado compartimento motor,TEC-13,2023-07-24 00:00:00,2023-07-25 00:00:00,45.0,285000.0,1311000,Pendiente,Alta
OT-0121,EQ-024,Preventivo,Motor,Inspección de frenos,TEC-08,2023-05-01 00:00:00,2023-05-01 00:00:00,8.0,297000.0,163000,En Proceso,Alta
OT-0285,EQ-005,Predictivo,Combustible,Falla en sistema de frenos,TEC-12,2024-02-27 00:00:00,2024-02-27 00:00:00,4.0,159000.0,296000,Completado,Media
OT-0089,EQ-040,Predictivo,Combustible,Rotura de manguera hidráulica,TEC-04,2024-11-08 00:00:00,2024-11-08 00:00:00,6.0,290000.0,139000,Completado,Media
OT-0236,EQ-023,Predictivo,Suspensión,Falla en sistema de frenos,TEC-05,2023-07-01 00:00:00,2023-07-01 00:00:00,1.0,340000.0,291000,Pendiente,Alta
OT-0169,EQ-027,Correctivo,Suspensión,Cortocircuito tablero eléctrico,TEC-06,2023-09-06 00:00:00,2023-09-07 00:00:00,47.0,159000.0,895000,Completado,Media
OT-0458,EQ-032,Emergencia,Chasis,Falla crítica sistema de dirección,TEC-13,2024-11-08 00:00:00,2024-11-09 00:00:00,28.0,249000.0,741000,Completado,Media
